L3_KEY,area_km2
33  East Central Texas Plains,55752.68512622546
35  South Central Plains,152131.8555864931
36  Ouachita Mountains,26895.47039984917
37  Arkansas Valley,28421.57497865626
38  Boston Mountains,14177.61359099543
39  Ozark Highlands,106390.9369767256
45  Piedmont,166117.3955741354
51  North Central Hardwood Forests,88909.52741351291
52  Driftless Area,47386.27677926953
53  Southeastern Wisconsin Till Plains,31350.34367946768
54  Central Corn Belt Plains,76509.7600127514
55  Eastern Corn Belt Plains,86857.50449665429
56  Southern Michigan/Northern Indiana Drift Plains,53035.14106626521
57  Huron/Erie Lake Plains,31594.7527501143
59  Northeastern Coastal Zone,42067.27013569164
60  Northern Allegheny Plateau,46510.28169908021
61  Erie Drift Plain,30959.6803756003
63  Middle Atlantic Coastal Plain,78476.13626136488
64  Northern Piedmont,31365.27766946664
65  Southeastern Plains,328885.1879526285
66  Blue Ridge,46595.43608767385
67  Ridge and Valley,116715.9144252107
68  Southwestern Appalachians,37994.68571582566
69  Central Appalachians,62050.44685674246
70  Western Allegheny Plateau,81440.11090302633
71  Interior Plateau,123527.1770909669
72  Interior River Valleys and Hills,120447.6254222014
73  Mississippi Alluvial Plain,116119.4319410376
74  Mississippi Valley Loess Plains,51809.97556683074
75  Southern Coastal Plain,141414.2053516291
82  Acadian Plains and Hills,45243.87279562728
83  Eastern Great Lakes Lowlands,40301.1222957482
84  Atlantic Coastal Pine Barrens,14307.55437685265
